PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD,Season,Week
Matt Forte,NYJ,6.8,28.57,2.56,14,27,1.9,0,2016,4
Giovani Bernard,CIN,7.76,10,2.88,10,18,1.8,0,2016,4
David Johnson,ARI,3.18,22.22,2.67,27,157,5.8,2,2016,5
LeSean McCoy,BUF,2.79,33.33,2.86,18,150,8.3,0,2016,5
Ezekiel Elliott,DAL,2.68,20,2.87,15,134,8.9,2,2016,5
DeMarco Murray,TEN,4.08,55.56,3.08,27,121,4.5,0,2016,5
Jordan Howard,CHI,3.02,25,2.91,16,118,7.4,0,2016,5
Jacquizz Rodgers,TB,4.72,3.33,2.81,30,101,3.4,0,2016,5
Terrance West,BAL,2.6,45.45,2.61,11,95,8.6,0,2016,5
Devonta Freeman,ATL,4.6,65.22,2.65,23,88,3.8,1,2016,5
Cameron Artis-Payne,CAR,3.74,22.22,2.77,18,85,4.7,2,2016,5
Eddie Lacy,GB,3.19,18.18,3.32,11,81,7.4,0,2016,5
Carlos Hyde,SF,4.17,--,2.54,22,78,3.5,1,2016,5
Frank Gore,IND,3,7.14,2.42,14,75,5.4,0,2016,5
Todd Gurley,LAR,4.89,17.39,2.51,23,72,3.1,1,2016,5
Melvin Gordon,LAC,4.11,37.5,2.96,16,69,4.3,0,2016,5
Le'Veon Bell,PIT,5.23,15,3.16,20,66,3.3,0,2016,5
Matt Asiata,MIN,3.18,35.71,1.93,14,55,3.9,1,2016,5
Matt Forte,NYJ,3.69,8.33,2.48,12,53,4.4,0,2016,5
Theo Riddick,DET,4.15,27.27,2.51,11,49,4.5,0,2016,5
Jay Ajayi,MIA,5.41,15.38,3.11,13,42,3.2,1,2016,5
Ryan Mathews,PHI,4.4,27.27,2.45,11,42,3.8,0,2016,5
C.J. Anderson,DEN,4.26,18.18,2.58,11,41,3.7,0,2016,5
LeGarrette Blount,NE,6.8,72.22,2.62,18,37,2.1,1,2016,5
Jerick McKinnon,MIN,8.36,35,2.66,20,36,1.8,0,2016,5
James Starks,GB,7.3,25,3.19,12,33,2.8,0,2016,5
Matt Jones,WAS,6.32,42.86,2.53,14,31,2.2,0,2016,5
Isaiah Crowell,CLE,8.65,7.69,2.38,13,22,1.7,0,2016,5
Jay Ajayi,MIA,2.9,32,2.72,25,204,8.2,2,2016,6
Ezekiel Elliott,DAL,3.34,57.14,2.67,28,157,5.6,0,2016,6
Lamar Miller,HOU,3.38,16.67,2.63,24,149,6.2,1,2016,6
LeSean McCoy,BUF,3.27,15.79,2.79,19,140,7.4,3,2016,6
Matt Jones,WAS,2.82,43.75,2.77,16,135,8.4,1,2016,6
Spencer Ware,KC,2.72,8.33,2.73,24,131,5.5,1,2016,6
David Johnson,ARI,2.38,31.82,2.88,22,111,5,3,2016,6
Frank Gore,IND,3.12,4.55,2.28,22,106,4.8,0,2016,6
Melvin Gordon,LAC,4.6,81.48,2.45,27,94,3.5,0,2016,6
Terrance West,BAL,4.51,34.78,2.76,23,87,3.8,2,2016,6
Jonathan Stewart,CAR,3.69,52.63,2.73,19,85,4.5,2,2016,6
Eddie Lacy,GB,5.12,17.65,2.69,17,65,3.8,0,2016,6
DeMarco Murray,TEN,5.82,33.33,2.76,21,65,3.1,1,2016,6
Christine Michael,SEA,4.67,38.89,2.91,18,64,3.6,2,2016,6
Zach Zenner,DET,4.28,28.57,2.62,14,58,4.1,0,2016,6
Todd Gurley,LAR,3.34,21.43,1.98,14,58,4.1,0,2016,6
Le'Veon Bell,PIT,3.44,10,2.95,10,53,5.3,0,2016,6
Carlos Hyde,SF,4.34,--,2.79,14,52,3.7,0,2016,6
Mark Ingram,NO,5.14,31.25,2.82,16,51,3.2,0,2016,6
LeGarrette Blount,NE,4.48,38.46,2.76,13,50,3.8,1,2016,6
DeAndre Washington,OAK,2.88,--,2.44,10,49,4.9,0,2016,6
Giovani Bernard,CIN,4.75,13.33,2.9,15,49,3.3,0,2016,6
Devonta Freeman,ATL,5.31,50,3.08,12,40,3.3,0,2016,6
Jeremy Hill,CIN,4.45,--,2.55,13,38,2.9,0,2016,6
C.J. Anderson,DEN,4.52,10,2.58,10,37,3.7,0,2016,6
Jordan Howard,CHI,6.97,40,2.8,15,35,2.3,1,2016,6
Chris Ivory,JAX,5.57,27.27,2.94,11,32,2.9,1,2016,6
Jay Ajayi,MIA,2.69,35.71,2.66,28,214,7.6,1,2016,7
Jacquizz Rodgers,TB,2.92,38.46,2.66,26,154,5.9,0,2016,7
LeGarrette Blount,NE,3.22,20.83,2.61,24,127,5.3,2,2016,7
David Johnson,ARI,4.36,21.21,2.78,33,113,3.4,0,2016,7
C.J. Anderson,DEN,2.97,37.5,2.09,16,107,6.7,1,2016,7
DeMarco Murray,TEN,4.61,44,2.77,25,103,4.1,1,2016,7
Matt Forte,NYJ,4.94,36.67,2.74,30,100,3.3,1,2016,7
Peyton Barber,TB,2.62,50,2.7,12,84,7,1,2016,7
Devontae Booker,DEN,3.32,29.41,2.08,17,83,4.9,1,2016,7
Le'Veon Bell,PIT,5,4.76,3.34,21,81,3.9,0,2016,7
Giovani Bernard,CIN,4.07,5.88,2.33,17,80,4.7,1,2016,7
Spencer Ware,KC,4.52,29.41,2.98,17,77,4.5,0,2016,7
Chris Thompson,WAS,3.68,--,3.18,12,73,6.1,0,2016,7
Melvin Gordon,LAC,4.52,50,2.64,22,68,3.1,2,2016,7
Alfred Blue,HOU,3.29,18.18,2.17,11,63,5.7,0,2016,7
Isaiah Crowell,CLE,3.19,8.33,2.08,12,63,5.3,1,2016,7
Mark Ingram,NO,4.31,--,2.66,16,62,3.9,0,2016,7
Lamar Miller,HOU,3.44,54.55,2.38,11,61,5.5,0,2016,7
Latavius Murray,OAK,4.52,66.67,2.68,18,59,3.3,2,2016,7
Frank Gore,IND,4.02,29.41,2.18,17,58,3.4,0,2016,7
Devonta Freeman,ATL,4.8,33.33,2.81,15,58,3.9,0,2016,7
Todd Gurley,LAR,4.4,20,2.37,15,57,3.8,0,2016,7
Ryan Mathews,PHI,5.15,21.43,2.65,14,56,4,0,2016,7
Matt Asiata,MIN,3.41,16.67,2.41,12,55,4.6,0,2016,7
Christine Michael,SEA,4.86,18.75,2.3,16,52,3.3,0,2016,7
Ka'Deem Carey,CHI,3.86,60,2.62,10,48,4.8,0,2016,7
Jerick McKinnon,MIN,4.04,45.45,2.79,11,43,3.9,0,2016,7
DuJuan Harris,SF,5.47,27.27,2.91,11,39,3.5,0,2016,7
Matt Jones,WAS,4.76,40,2.7,10,27,2.7,0,2016,7
Rashad Jennings,NYG,6.16,--,2.12,13,25,1.9,1,2016,7
Jordan Howard,CHI,3.31,42.31,2.79,26,153,5.9,1,2016,8
DeMarco Murray,TEN,4.29,42.86,3.19,21,123,5.9,1,2016,8
Melvin Gordon,LAC,3.71,56.52,2.6,23,111,4.8,0,2016,8
Tim Hightower,NO,3.76,38.46,2.6,26,102,3.9,0,2016,8
Ezekiel Elliott,DAL,3.81,13.64,2.72,22,96,4.4,0,2016,8
Jonathan Stewart,CAR,4,36,2.65,25,95,3.8,2,2016,8
Rob Kelley,WAS,4.14,19.05,2.66,21,87,4.1,1,2016,8
Darren Sproles,PHI,3.78,13.33,3.03,15,86,5.7,0,2016,8
Mike Gillislee,BUF,2.99,50,2.7,12,85,7.1,1,2016,8
Matt Forte,NYJ,4.85,12,2.73,25,82,3.3,2,2016,8
Jeremy Hill,CIN,4.3,5,2.42,20,76,3.8,1,2016,8
Jacquizz Rodgers,TB,4.12,26.32,2.62,19,69,3.6,1,2016,8
Derrick Henry,TEN,4.8,50,2.56,16,60,3.8,1,2016,8
Theo Riddick,DET,4.45,--,2.99,11,56,5.1,0,2016,8
Lamar Miller,HOU,5.28,17.65,2.29,17,56,3.3,1,2016,8
Devontae Booker,DEN,5.05,63.16,2.76,19,54,2.8,1,2016,8
Giovani Bernard,CIN,4.31,--,2.75,11,52,4.7,1,2016,8
Charcandrick West,KC,4.68,28.57,2.97,14,52,3.7,0,2016,8
Latavius Murray,OAK,3.69,27.27,2.67,11,48,4.4,0,2016,8
LeGarrette Blount,NE,5.83,11.11,2.82,18,43,2.4,1,2016,8
Matt Asiata,MIN,4.31,7.14,2.34,14,42,3,0,2016,8
Christine Michael,SEA,4.19,30,2.56,10,40,4,1,2016,8
Devonta Freeman,ATL,5.55,27.27,3.24,11,35,3.2,1,2016,8
Isaiah Crowell,CLE,4.62,45.45,2.62,11,29,2.6,1,2016,8
David Johnson,ARI,6.78,10,3.14,10,24,2.4,0,2016,8
Melvin Gordon,LAC,2.66,28.13,2.45,32,196,6.1,1,2016,9
Mark Ingram,NO,2,33.33,2.61,15,158,10.5,1,2016,9
Latavius Murray,OAK,3.28,80,2.27,20,114,5.7,3,2016,9
Jay Ajayi,MIA,3.85,12.5,2.79,24,111,4.6,1,2016,9
Chris Ivory,JAX,3.23,5.56,3.01,18,107,5.9,0,2016,9
Ezekiel Elliott,DAL,4.31,33.33,3.35,18,92,5.1,2,2016,9
Matt Forte,NYJ,2.39,8.33,2.7,12,92,7.7,1,2016,9
Tim Hightower,NO,3.68,30.43,2.43,23,87,3.8,1,2016,9
LeSean McCoy,BUF,4.96,52.38,3.28,21,85,4,0,2016,9
Devonta Freeman,ATL,4.16,23.53,2.61,17,77,4.5,0,2016,9
Theo Riddick,DET,4.01,21.43,3.11,14,70,5,0,2016,9
Frank Gore,IND,5.11,36.84,2.72,19,60,3.2,2,2016,9
DuJuan Harris,SF,2.91,--,2.76,10,59,5.9,0,2016,9
Darren Sproles,PHI,4.34,7.69,2.92,13,57,4.4,0,2016,9
Alfred Morris,DAL,5.54,52.94,3.02,17,56,3.3,0,2016,9
DeMarco Murray,TEN,4.52,21.43,2.86,14,51,3.6,1,2016,9
Todd Gurley,LAR,3.96,25,2.66,12,48,4,0,2016,9
Jonathan Stewart,CAR,6.13,13.33,3.27,15,42,2.8,0,2016,9
Charcandrick West,KC,5.28,15.38,3.03,13,39,3,0,2016,9
DeAndre Washington,OAK,4.21,30,2.32,10,35,3.5,0,2016,9
Le'Veon Bell,PIT,6.69,21.43,2.87,14,32,2.3,0,2016,9
Paul Perkins,NYG,4.64,--,2.38,11,32,2.9,0,2016,9
Peyton Barber,TB,5.36,18.18,2.94,11,31,2.8,0,2016,9
Dwayne Washington,DET,6.36,10,3.19,10,27,2.7,0,2016,9
Rashad Jennings,NYG,5.29,--,2.16,11,26,2.4,0,2016,9
Devontae Booker,DEN,5.31,--,2.26,10,22,2.2,0,2016,9
Terrance West,BAL,10.26,26.67,2.51,15,21,1.4,0,2016,9
DeMarco Murray,TEN,2.65,70.59,2.8,17,123,7.2,1,2016,10
Ezekiel Elliott,DAL,3.2,23.81,2.59,21,114,5.4,2,2016,10
Ryan Mathews,PHI,3.65,15.79,2.45,19,109,5.7,2,2016,10
Jordan Howard,CHI,2.95,6.67,2.82,15,100,6.7,0,2016,10
Matt Forte,NYJ,3.25,15,2.63,20,98,4.9,0,2016,10
Rob Kelley,WAS,3.86,13.64,2.63,22,97,4.4,0,2016,10
Rashad Jennings,NYG,3.09,--,3.03,15,87,5.8,0,2016,10
Lamar Miller,HOU,3.22,60,2.87,15,83,5.5,0,2016,10
Jay Ajayi,MIA,4.71,21.05,2.98,19,79,4.2,0,2016,10
Devontae Booker,DEN,5.02,33.33,2.58,24,76,3.2,0,2016,10
Melvin Gordon,LAC,5.62,25,2.8,24,70,2.9,0,2016,10
Wendell Smallwood,PHI,3.39,23.08,2.59,13,70,5.4,0,2016,10
LeGarrette Blount,NE,5.37,52.38,2.63,21,69,3.3,3,2016,10
C.J. Prosise,SEA,4.77,23.53,2.57,17,66,3.9,0,2016,10
Terrance West,BAL,4.02,14.29,2.72,21,65,3.1,0,2016,10
Todd Gurley,LAR,4.32,9.52,2.51,21,64,3,0,2016,10
Spencer Ware,KC,3.76,15.38,2.95,13,61,4.7,0,2016,10
Le'Veon Bell,PIT,5.41,5.88,3.49,17,57,3.4,1,2016,10
David Johnson,ARI,5.03,42.11,2.9,19,55,2.9,1,2016,10
Mark Ingram,NO,3.72,45.45,2.43,11,50,4.5,0,2016,10
Devonta Freeman,ATL,4.13,8.33,2.41,12,49,4.1,0,2016,10
Jeremy Hill,CIN,5.27,20,3.05,15,46,3.1,1,2016,10
Jonathan Stewart,CAR,5.27,23.08,3.24,13,39,3,0,2016,10
Peyton Barber,TB,4.16,41.67,2.71,12,38,3.2,0,2016,10
Doug Martin,TB,7.1,31.25,3.04,16,33,2.1,1,2016,10
Chris Ivory,JAX,5.67,40,2.8,10,27,2.7,0,2016,10
Carlos Hyde,SF,13.72,--,3.17,13,14,1.1,0,2016,10
Le'Veon Bell,PIT,3.94,17.86,2.94,28,146,5.2,1,2016,11
Rob Kelley,WAS,3.22,50,2.57,24,137,5.7,3,2016,11
LeGarrette Blount,NE,2.61,57.89,2.88,19,124,6.5,0,2016,11
Lamar Miller,HOU,4.06,12.5,2.72,24,104,4.3,1,2016,11
David Johnson,ARI,3.35,18.18,2.43,22,103,4.7,1,2016,11
Ezekiel Elliott,DAL,4.33,44,2.99,25,97,3.9,0,2016,11
Carlos Hyde,SF,3.61,36.84,3.04,19,86,4.5,0,2016,11
Rashad Jennings,NYG,3.72,--,2.49,21,85,4,1,2016,11
Jordan Howard,CHI,4.44,35.29,3.02,17,77,4.5,0,2016,11
Jay Ajayi,MIA,4.11,6.25,2.51,16,77,4.8,0,2016,11
Todd Gurley,LAR,4.54,25,2.63,20,76,3.8,1,2016,11
Mike Gillislee,BUF,4.22,28.57,3.02,14,72,5.1,0,2016,11
DeMarco Murray,TEN,5.06,33.33,2.72,21,70,3.3,0,2016,11
Tim Hightower,NO,3.09,16.67,3,12,69,5.8,0,2016,11
Spencer Ware,KC,3.37,29.41,2.65,17,69,4.1,0,2016,11
Doug Martin,TB,5.29,33.33,2.97,24,63,2.6,0,2016,11
Jeremy Hill,CIN,4.48,12.5,2.28,16,62,3.9,0,2016,11
Thomas Rawls,SEA,4.1,35.71,2.41,14,57,4.1,0,2016,11
Frank Gore,IND,4.32,16.67,2.32,18,50,2.8,0,2016,11
Wendell Smallwood,PHI,5.58,15.38,2.54,13,48,3.7,0,2016,11
Jerick McKinnon,MIN,4.93,37.5,2.6,16,44,2.8,0,2016,11
Chris Ivory,JAX,7.01,29.41,2.63,17,39,2.3,0,2016,11
Latavius Murray,OAK,4.89,66.67,2.37,12,33,2.8,0,2016,11
Jonathan Stewart,CAR,8.45,50,2.82,18,31,1.7,1,2016,11
Dwayne Washington,DET,31.64,23.08,3.15,13,6,0.5,0,2016,11
Mark Ingram,NO,2.43,42.86,2.81,14,146,10.4,1,2016,12
Le'Veon Bell,PIT,3.55,26.09,2.82,23,120,5.2,1,2016,12
LeSean McCoy,BUF,4.43,36.84,2.99,19,103,5.4,2,2016,12
Ezekiel Elliott,DAL,3.71,40,2.6,20,97,4.9,2,2016,12
Jonathan Stewart,CAR,2.98,70.59,2.66,17,96,5.6,2,2016,12
Doug Martin,TB,4.63,34.78,2.85,23,87,3.8,0,2016,12
Jordan Howard,CHI,3.93,38.89,2.86,18,84,4.7,0,2016,12
Devontae Booker,DEN,4.68,25,2.54,24,79,3.3,0,2016,12
Melvin Gordon,LAC,4.22,23.53,2.33,17,70,4.1,0,2016,12
LeGarrette Blount,NE,3.77,36.36,3.3,11,67,6.1,0,2016,12
Carlos Hyde,SF,3.32,23.08,2.34,13,65,5,0,2016,12
Spencer Ware,KC,3.72,41.18,2.79,17,64,3.8,0,2016,12
Devonta Freeman,ATL,5.5,56.25,2.68,16,60,3.8,2,2016,12
David Johnson,ARI,3.92,7.69,2.56,13,58,4.5,0,2016,12
Lamar Miller,HOU,4.93,31.58,2.52,19,57,3,0,2016,12
Rashad Jennings,NYG,4.56,--,2.9,15,55,3.7,0,2016,12
Tim Hightower,NO,4.15,46.67,2.46,15,51,3.4,0,2016,12
Todd Gurley,LAR,3.91,23.08,2.52,13,50,3.8,0,2016,12
Kenneth Dixon,BAL,5.23,15.38,2.75,13,49,3.8,0,2016,12
Terrance West,BAL,4.59,--,2.64,13,48,3.7,0,2016,12
Latavius Murray,OAK,6.11,21.05,2.64,19,45,2.4,1,2016,12
Jay Ajayi,MIA,7.53,22.22,2.69,18,45,2.5,1,2016,12
Isaiah Crowell,CLE,4.67,25,2.63,16,44,2.8,0,2016,12
DeMarco Murray,TEN,6.03,58.82,3.22,17,43,2.5,0,2016,12
James Starks,GB,6.13,29.41,3.23,17,41,2.4,0,2016,12
Denard Robinson,JAX,4.55,7.69,2.52,13,39,3,0,2016,12
Thomas Rawls,SEA,5.04,8.33,2.72,12,38,3.2,0,2016,12
Rob Kelley,WAS,6.59,21.43,3.17,14,37,2.6,0,2016,12
Frank Gore,IND,5.84,13.33,2.45,15,28,1.9,0,2016,12
Matt Forte,NYJ,7.45,15.38,3.06,13,27,2.1,0,2016,12
Jeremy Hill,CIN,7.74,8.33,2.56,12,21,1.8,0,2016,12
LeSean McCoy,BUF,3.19,29.41,3.24,17,130,7.6,0,2016,13
Le'Veon Bell,PIT,4.25,24.14,3.16,29,118,4.1,0,2016,13
Jordan Howard,CHI,3.81,56.25,2.59,32,117,3.7,3,2016,13
Thomas Rawls,SEA,2.83,13.33,2.56,15,106,7.1,2,2016,13
Carlos Hyde,SF,3.5,--,2.5,20,92,4.6,0,2016,13
LeGarrette Blount,NE,3.67,50,2.82,18,88,4.9,1,2016,13
Ezekiel Elliott,DAL,4.68,20,3.18,20,86,4.3,1,2016,13
Melvin Gordon,LAC,3.3,11.76,2.58,17,84,4.9,1,2016,13
David Johnson,ARI,3.49,22.22,2.55,18,84,4.7,1,2016,13
Latavius Murray,OAK,3.75,60,2.33,20,82,4.1,2,2016,13
Frank Gore,IND,4.15,30,2.72,20,79,4,0,2016,13
Rob Kelley,WAS,3.23,14.29,2.5,14,63,4.5,0,2016,13
Jay Ajayi,MIA,4.02,--,2.68,12,61,5.1,0,2016,13
Devonta Freeman,ATL,4.63,13.33,2.76,15,56,3.7,2,2016,13
T.J. Yeldon,JAX,3.5,21.43,2.75,14,55,3.9,0,2016,13
Denard Robinson,JAX,4.78,41.18,2.52,17,53,3.1,0,2016,13
Jonathan Stewart,CAR,3.82,18.18,3.05,11,50,4.5,0,2016,13
Terrance West,BAL,3.9,20,3.1,10,50,5,1,2016,13
Tevin Coleman,ATL,4.43,8.33,2.88,12,49,4.1,0,2016,13
Doug Martin,TB,5.39,23.53,2.83,17,45,2.6,1,2016,13
Todd Gurley,LAR,4.81,18.18,2.55,11,38,3.5,0,2016,13
Devontae Booker,DEN,7.98,27.78,2.9,18,35,1.9,1,2016,13
Jeremy Hill,CIN,10.19,26.09,2.87,23,33,1.4,1,2016,13
Spencer Ware,KC,7.06,7.14,3.04,14,29,2.1,1,2016,13
Lamar Miller,HOU,6.7,35.71,2.65,14,22,1.6,0,2016,13
Le'Veon Bell,PIT,3.52,60.53,3,38,236,6.2,3,2016,14
Carlos Hyde,SF,2.28,29.41,3.03,17,193,11.4,0,2016,14
Bilal Powell,NYJ,3.75,13.79,3.08,29,145,5,2,2016,14
Isaiah Crowell,CLE,2.03,10,3.1,10,113,11.3,0,2016,14
Jeremy Hill,CIN,3.77,28,2.81,25,111,4.4,1,2016,14
Lamar Miller,HOU,3.2,42.86,2.41,21,107,5.1,1,2016,14
Ezekiel Elliott,DAL,4.03,12.5,2.96,24,107,4.5,0,2016,14
Latavius Murray,OAK,3.24,9.09,2.69,22,103,4.7,1,2016,14
DeMarco Murray,TEN,4,85.71,2.8,21,92,4.4,1,2016,14
Jordan Howard,CHI,2.96,23.08,2.81,13,86,6.6,0,2016,14
David Johnson,ARI,3.78,15,2.56,20,80,4,0,2016,14
LeGarrette Blount,NE,3.99,50,2.72,18,72,4,1,2016,14
Thomas Rawls,SEA,3.07,16.67,2.64,12,67,5.6,0,2016,14
Jonathan Stewart,CAR,5.82,54.17,3.04,24,66,2.8,1,2016,14
Doug Martin,TB,5.26,69.57,2.68,23,66,2.9,1,2016,14
Dwayne Washington,DET,3.94,6.25,2.92,16,64,4,0,2016,14
Rob Kelley,WAS,4.49,12.5,3.16,16,63,3.9,1,2016,14
Todd Gurley,LAR,3.52,12.5,2.26,16,61,3.8,1,2016,14
Ryan Mathews,PHI,4,13.33,2.65,15,60,4,0,2016,14
T.J. Yeldon,JAX,5.4,23.53,2.93,17,59,3.5,0,2016,14
Spencer Ware,KC,5.57,15,2.9,20,56,2.8,0,2016,14
Kenneth Farrow,LAC,3.98,6.25,2.44,16,55,3.4,0,2016,14
Alfred Blue,HOU,4.25,18.75,2.06,16,55,3.4,0,2016,14
Jay Ajayi,MIA,6.27,--,2.93,20,48,2.4,0,2016,14
Paul Perkins,NYG,4.67,--,2.7,15,45,3,0,2016,14
Rashad Jennings,NYG,4.73,--,2.6,15,45,3,0,2016,14
Derrick Henry,TEN,3.77,91.67,2.34,12,42,3.5,0,2016,14
Frank Gore,IND,3.78,10,2.21,10,41,4.1,0,2016,14
Kenneth Dixon,BAL,4.2,18.18,2.58,11,39,3.5,0,2016,14
Matt Asiata,MIN,3.92,72.73,2.37,11,37,3.4,1,2016,14
Christine Michael,GB,5.2,10,2.8,10,36,3.6,0,2016,14
Jerick McKinnon,MIN,7.06,21.43,2.73,14,31,2.2,0,2016,14
LeSean McCoy,BUF,7.6,8.33,2.85,12,27,2.3,1,2016,14
Terron Ward,ATL,6.51,40,3.09,10,24,2.4,0,2016,14
Ty Montgomery,GB,2.73,12.5,3.47,16,162,10.1,2,2016,15
Ezekiel Elliott,DAL,2.89,8.7,2.9,23,159,6.9,1,2016,15
LeSean McCoy,BUF,3.16,5.26,3.14,19,153,8.1,2,2016,15
Devonta Freeman,ATL,3.12,20,2.59,20,139,7,3,2016,15
Jonathan Stewart,CAR,3.48,28,2.66,25,132,5.3,0,2016,15
Ryan Mathews,PHI,3.32,15,2.92,20,128,6.4,1,2016,15
Frank Gore,IND,3.32,15.38,2.36,26,101,3.9,0,2016,15
Dion Lewis,NE,2.9,27.78,2.19,18,95,5.3,0,2016,15
Le'Veon Bell,PIT,4.65,26.09,3.22,23,93,4,0,2016,15
Jordan Howard,CHI,3.68,5.88,2.63,17,90,5.3,1,2016,15
DeMarco Murray,TEN,3.65,38.89,3.13,18,89,4.9,0,2016,15
Bilal Powell,NYJ,3.04,6.25,2.63,16,84,5.3,0,2016,15
Latavius Murray,OAK,3.14,38.46,3,13,81,6.2,0,2016,15
Mark Ingram,NO,3.93,17.65,2.62,17,78,4.6,0,2016,15
Terrance West,BAL,3.18,53.85,2.73,13,77,5.9,0,2016,15
Carlos Hyde,SF,3.74,--,2.87,13,71,5.5,0,2016,15
Spencer Ware,KC,4.92,44.44,3.14,18,69,3.8,0,2016,15
Lamar Miller,HOU,5,50,2.54,22,63,2.9,1,2016,15
Tevin Coleman,ATL,5.07,42.86,2.71,14,58,4.1,0,2016,15
Paul Perkins,NYG,2.68,--,2.25,11,56,5.1,0,2016,15
David Johnson,ARI,4.02,50,2.64,12,53,4.4,2,2016,15
Jay Ajayi,MIA,6.02,42.11,2.37,19,51,2.7,0,2016,15
Chris Ivory,JAX,4.07,40,2.81,10,44,4.4,0,2016,15
Jeremy Hill,CIN,5.49,25,2.28,20,43,2.2,1,2016,15
Doug Martin,TB,5.85,12.5,2.76,16,42,2.6,0,2016,15
Kenneth Farrow,LAC,4.7,20,2.56,15,39,2.6,0,2016,15
Todd Gurley,LAR,7.17,35.71,2.97,14,38,2.7,0,2016,15
Rashad Jennings,NYG,6.14,22.22,2.75,18,38,2.1,0,2016,15
Justin Forsett,DEN,5.24,--,2.76,10,37,3.7,0,2016,15
Tim Hightower,NO,5.03,27.27,2.4,11,37,3.4,2,2016,15
Thomas Rawls,SEA,8.84,9.52,2.59,21,34,1.6,0,2016,15
LeGarrette Blount,NE,7.32,94.12,2.54,17,31,1.8,1,2016,15
Dwayne Washington,DET,7.45,14.29,3.27,14,31,2.2,0,2016,15
Jay Ajayi,MIA,3.29,46.88,2.82,32,206,6.4,1,2016,16
LeSean McCoy,BUF,3.54,16.67,2.73,24,128,5.3,1,2016,16
Le'Veon Bell,PIT,3.47,15,3.5,20,122,6.1,1,2016,16
Jordan Howard,CHI,3.17,11.11,2.82,18,119,6.6,0,2016,16
DeAndre Washington,OAK,2.35,33.33,2.57,12,99,8.3,2,2016,16
David Johnson,ARI,5.13,35.71,2.5,28,95,3.4,3,2016,16
Mike Gillislee,BUF,2.76,36.36,2.83,11,91,8.3,0,2016,16
Mark Ingram,NO,2.93,33.33,2.71,18,90,5,2,2016,16
Ezekiel Elliott,DAL,3.32,33.33,3.04,12,80,6.7,2,2016,16
Rob Kelley,WAS,3.98,5.26,2.83,19,76,4,0,2016,16
Alfred Blue,HOU,4.22,4.76,2.6,21,73,3.5,1,2016,16
Frank Gore,IND,3.09,7.69,2.3,13,72,5.5,0,2016,16
Paul Perkins,NYG,3.16,6.67,2.82,15,68,4.5,0,2016,16
Zach Zenner,DET,3.13,--,2.8,12,67,5.6,2,2016,16
Todd Gurley,LAR,4.57,34.78,2.35,23,67,2.9,1,2016,16
Jacquizz Rodgers,TB,3.48,40,2.91,15,63,4.2,1,2016,16
Spencer Ware,KC,3.11,38.46,2.42,13,62,4.8,0,2016,16
Bilal Powell,NYJ,3.75,6.67,2.81,15,60,4,0,2016,16
Kenneth Dixon,BAL,3.7,25,2.76,12,57,4.8,0,2016,16
Isaiah Crowell,CLE,5.62,25,3.3,16,54,3.4,2,2016,16
Devonta Freeman,ATL,4.28,15.38,2.38,13,53,4.1,0,2016,16
Dion Lewis,NE,5.21,18.75,3.09,16,52,3.3,0,2016,16
Jerick McKinnon,MIN,4.1,9.09,2.59,11,50,4.5,0,2016,16
Jonathan Stewart,CAR,4.06,18.18,2.7,11,50,4.5,0,2016,16
LeGarrette Blount,NE,4.62,40,2.58,20,50,2.5,2,2016,16
Darren McFadden,DAL,0.74,64.29,3.12,14,49,3.5,0,2016,16
Ryan Mathews,PHI,6.95,44.44,3.12,18,46,2.6,0,2016,16
Chris Ivory,JAX,6.12,14.29,2.91,14,45,3.2,1,2016,16
Rex Burkhead,CIN,4.19,--,2.65,12,42,3.5,0,2016,16
DeMarco Murray,TEN,5.48,50,2.99,14,42,3,0,2016,16
Latavius Murray,OAK,4.63,60,2.65,15,40,2.7,0,2016,16
Carlos Hyde,SF,5.43,--,2.34,13,38,2.9,0,2016,16
Charcandrick West,KC,5.64,71.43,2.69,14,35,2.5,0,2016,16
Terrance West,BAL,5.21,10,2.99,10,27,2.7,0,2016,16
Shaun Draughn,SF,6.62,--,2.2,10,17,1.7,0,2016,16
Isaiah Crowell,CLE,2.65,5.26,2.86,19,152,8,0,2016,17
Jordan Howard,CHI,3.53,26.09,2.57,23,135,5.9,0,2016,17
Corey Grant,JAX,3.51,16.67,3.15,18,122,6.8,1,2016,17
Bilal Powell,NYJ,3.2,13.64,2.91,22,122,5.5,0,2016,17
Rex Burkhead,CIN,3.73,22.22,2.4,27,119,4.4,2,2016,17
Mark Ingram,NO,3.77,10,2.64,20,103,5.2,1,2016,17
Paul Perkins,NYG,3.51,9.52,2.53,21,102,4.9,0,2016,17
Devonta Freeman,ATL,2.6,25,2.42,12,96,8,1,2016,17
Justin Forsett,DEN,4.65,13.64,2.91,22,90,4.1,0,2016,17
Jerick McKinnon,MIN,3.45,6.25,2.33,16,89,5.6,1,2016,17
Andre Williams,LAC,3.39,16.67,2.71,18,87,4.8,0,2016,17
Jacquizz Rodgers,TB,3.57,35.29,2.57,17,75,4.4,0,2016,17
Zach Zenner,DET,3.98,5,2.56,20,69,3.5,1,2016,17
DeAngelo Williams,PIT,5.52,17.39,2.91,23,67,2.9,1,2016,17
