PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD,Season,Week
Jordan Howard,CHI,3.95,5.26,2.69,19,60,3.2,1,2018,15
Sony Michel,NE,3.19,--,2.47,13,59,4.5,0,2018,15
Justin Jackson,LAC,3.7,37.5,2.62,16,58,3.6,1,2018,15
Jamaal Williams,GB,3.3,--,2.45,12,55,4.6,1,2018,15
Christian McCaffrey,CAR,4.12,20,2.54,15,53,3.5,0,2018,15
Adrian Peterson,WAS,5.41,21.05,2.83,19,51,2.7,0,2018,15
Matt Breida,SF,5.55,52.94,2.76,17,50,2.9,0,2018,15
Damien Williams,KC,3.34,--,2.32,10,49,4.9,2,2018,15
Wendell Smallwood,PHI,4.16,--,2.81,10,48,4.8,2,2018,15
Kenneth Dixon,BAL,3.61,--,2.92,11,48,4.4,0,2018,15
Todd Gurley,LAR,5.29,8.33,3.14,12,48,4,2,2018,15
Keith Ford,BUF,4.2,28.57,2.65,14,46,3.3,0,2018,15
Leonard Fournette,JAX,3.82,63.64,2.45,11,46,4.2,0,2018,15
Zach Zenner,DET,3.26,40,2.91,10,45,4.5,1,2018,15
Elijah McGuire,NYJ,5.65,5.56,2.7,18,42,2.3,1,2018,15
Marcus Murphy,BUF,4.21,--,2.56,11,35,3.2,0,2018,15
David Johnson,ARI,4.83,27.27,2.7,11,33,3,1,2018,15
Saquon Barkley,NYG,7.47,14.29,3.27,14,31,2.2,0,2018,15
Josh Adams,PHI,6.7,13.33,2.93,15,28,1.9,1,2018,15
Phillip Lindsay,DEN,8.45,14.29,2.46,14,24,1.7,0,2018,15
C.J. Anderson,LAR,2.22,55,2.34,20,167,8.4,1,2018,16
Adrian Peterson,WAS,3.29,23.08,2.6,26,119,4.6,0,2018,16
Chris Carson,SEA,3.83,22.22,2.68,27,116,4.3,2,2018,16
Sony Michel,NE,2.95,55.56,2.76,18,116,6.4,1,2018,16
Nick Chubb,CLE,3.27,10.53,2.88,19,112,5.9,0,2018,16
Doug Martin,OAK,3.23,57.14,2.83,21,107,5.1,1,2018,16
Damien Williams,KC,3.03,15.38,2.57,13,103,7.9,0,2018,16
Christian McCaffrey,CAR,3.62,23.81,2.78,21,101,4.8,0,2018,16
