PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC,xYAC,+/-,Season,Week
A.J. Green,CIN,WR,2.7,1.7,16.8,64.69,9,18,50,121,0,2.3,3.3,-1,2016,8
Dez Bryant,DAL,WR,7.4,1.8,18.9,55.07,4,14,28.57,113,1,4.7,4.9,-0.2,2016,8
Rob Gronkowski,NE,TE,4.3,2,15.3,32.5,5,7,71.43,109,1,10.8,7.1,3.8,2016,8
Michael Crabtree,OAK,WR,6.3,2.4,12.1,37.37,8,16,50,108,0,8.2,3.7,4.4,2016,8
Jamison Crowder,WAS,WR,6,4.5,7.5,19.11,9,13,69.23,107,1,7.4,7.2,0.3,2016,8
Tyler Eifert,CIN,TE,8.3,2.8,8.3,21.26,9,12,75,102,1,5.7,6.4,-0.7,2016,8
Travis Kelce,KC,TE,7.1,3,11.9,29.66,7,10,70,101,1,8,8.7,-0.7,2016,8
Terrelle Pryor,CLE,WR,5.6,2,18.7,47.23,6,12,50,101,0,4.3,3,1.3,2016,8
Jordan Reed,WAS,TE,6.2,3,7.1,18.19,9,13,69.23,99,1,5.9,4.9,1,2016,8
Tyreek Hill,KC,WR,7,4.3,11,16.4,5,6,83.33,98,1,7.2,7.2,-0.1,2016,8
Allen Hurns,JAX,WR,6.5,2.1,9.3,22.79,7,11,63.64,98,1,5,4.9,0.1,2016,8
Jordy Nelson,GB,WR,4.9,2.6,15.3,44.35,4,9,44.44,94,1,6.7,9.4,-2.6,2016,8
Vernon Davis,WAS,TE,7.4,1.7,9.9,9.74,5,5,100,93,0,8.7,7.4,1.3,2016,8
Quincy Enunwa,NYJ,WR,4.3,2.5,12.9,36.88,4,11,36.36,93,1,10.7,12,-1.3,2016,8
Zach Miller,CHI,TE,5,3.6,7.4,21.05,7,10,70,88,0,6.8,7.3,-0.5,2016,8
Kendall Wright,TEN,WR,7,3.1,16.2,44.41,4,5,80,84,1,5.2,2.5,2.8,2016,8
Mohamed Sanu,ATL,WR,5.2,4,5.8,26.49,9,10,90,84,1,4.3,4.8,-0.5,2016,8
